Adress_agence,CodePostal_agence,Non_agence,Pays,Price,Tel_agence,Titre_annonce,Ville,m2_total,url
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 569,231",+230 483 50 52,Villa with pool,Grand Baie ,281,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182627/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 354,687",+230 483 50 52,Apartment with terrace,Grand Baie ,85,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182639/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,100,000",+230 483 50 52,Apartment with pool,Rivière Noire District ,290,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182615/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 564,103",+230 483 50 52,Villa with pool,Grand Baie ,281,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182645/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,410,256",+230 483 50 52,House with pool,Blue Bay ,450,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-mauritius/18182657/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,990,741",+230 483 50 52,Villa with pool,Bel Ombre ,289,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182667/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,531,835",+230 483 50 52,Villa with pool and terrace,Grand Baie ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182651/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 202,564",+230 483 50 52,Apartment,Curepipe ,190,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182635/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 3,538,462",+230 483 50 52,Villa,Rivière Noire District ,1046,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182665/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,076,923",+230 483 50 52,House with pool and terrace,Calodyne ,550,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-mauritius/18182653/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 2,128,205",+230 483 50 52,Villa with pool,Rivière Noire District ,492,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182673/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 2,142,179",+230 483 50 52,Villa,Beau Champ ,237,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182655/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 743,590",+230 483 50 52,House,Vacoas-Phoenix ,417,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-mauritius/18182663/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 2,794,872",+230 483 50 52,Villa with pool,Rivière Noire District ,562,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182681/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 410,203",+230 483 50 52,Villa with pool,Grand Baie ,120,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182643/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 3,166,667",+230 483 50 52,Villa with pool,Rivière Noire District ,784,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182675/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 217,949",+230 483 50 52,House with terrace,Tombeau Bay ,200,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-mauritius/18182683/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,152,564",+230 483 50 52,Villa with pool,Trois-Rives ,221,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182691/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 251,282",+230 483 50 52,Apartment,Grand Baie ,146,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182723/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 251,282",+230 483 50 52,Apartment with terrace,Curepipe ,200,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182677/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 200,000",+212 (0)5 24 43 32 00,Apartment with terrace,Marrakesh ,86,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-morocco/10851353/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 1,350,000",351214659600,Apartment,Lisbon ,180,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18170843/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 200,000",+212 (0)5 24 43 32 00,Apartment with terrace,Marrakesh ,148,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-morocco/11108511/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritiu,"€ 2,210,365",+230 483 50 52,Villa with pool,Mauritius,530,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182571/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 487,179",+230 483 50 52,House with pool,Grand Baie ,290,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-mauritius/18182579/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 2,200,000",+230 483 50 52,Villa with pool and terrace,Tamarin ,681,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182587/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,661,282",+230 483 50 52,Villa,Beau Champ ,239,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182581/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 425,641",+230 483 50 52,Villa with pool,Rivière Noire District ,163,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182585/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 434,615",+230 483 50 52,Apartment with terrace,Grand Baie ,128,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182573/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 2,870,370",+230 483 50 52,Villa with pool,Rivière Noire District ,590,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182583/
 Sevilla ,, ITALIQUE PROPIEDADES,Spain,"€ 692,000",00 34 722 14 70 65,Contemporary apartment with terrace,Seville ,246,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-spain/16429927/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,523,904",+230 483 50 52,Villa with pool,Grand Baie ,297,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182591/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 594,872",+230 483 50 52,Villa with pool,Grand Baie ,281,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182597/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 494,872",+230 483 50 52,Villa with pool,Rivière Noire District ,163,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182575/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 1,200,000",351282353019,Villa,Lagoa ,295,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18052877/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,797,458",+230 483 50 52,Villa with pool,Beau Champ ,177,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182589/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 750,000",33629793229,Seaside villa with pool,Atalaia ,254,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18059177/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 550,000",351282353019,Ground ,Loulé ,762,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/18079269/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,953,346",+230 483 50 52,Villa with pool,Rivière Noire District ,600,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182747/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 4,500,000",+39 02 8707 8300,Villa,Florence ,350,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18110717/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 1,300,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Property with pool and garden,Santo Estêvão ,335,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18031719/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Seaside villa with pool,Mauritius,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18111393/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 840,000",+230 483 50 52,Villa with pool and terrace,Tamarin ,342,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18182593/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 1,413,462",+230 483 50 52,Apartment,Tamarin ,175,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182599/
" Royal Road, Grand Baie ",, BARNES ILE MAURICE,Mauritius,"€ 346,154",+230 483 50 52,Apartment,Rivière Noire District ,143,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18182595/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Contemporary apartment with terrace and pool,Mauritius,155,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18113463/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 850,000",+39 02 8707 8300,Villa,Premeno ,480,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/18110709/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Seaside villa with pool,Mauritius,726,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18111273/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Villa with pool and garden,Mauritius,700,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18112803/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Seaside villa with pool,Mauritius,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18113315/
" Calle La Cuesta 11A, Punta Mujeres, Lanzarote, Iles Canaries ",, SONIA DAKHLI,Spain,"€ 995,000",07 60 84 44 64,Property,Canary Islands ,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18031829/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 1,600,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Property with pool and garden,Lisbon ,368,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-portugal/18031673/
 Avenue Legrand 30 ,, JAMES REALTY,Belgiu,,+32 (0) 488 576 592,Apartment,Belgium,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18031723/
" Plaza Navegacion, 13, Santa Catalina ",, SYNERGY MALLORCA,Spain,"€ 3,700,000",34685187477,Property,Majorca ,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18031853/
" Plaza Navegacion, 13, Santa Catalina ",, SYNERGY MALLORCA,Spain,"€ 1,690,000",34685187477,Property,Majorca ,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18031821/
 Avenue Legrand 30 ,, JAMES REALTY,Belgiu,,+32 (0) 488 576 592,Private mansion,Belgium,,https://properties.lefigaro.com/announces/town+house-real+estate-properties+for+sale-belgium/18031793/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 900,000",33629793229,Seaside villa with pool,Lourinhã ,358,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/18031877/
" Plaza Navegacion, 13, Santa Catalina ",, SYNERGY MALLORCA,Spain,"€ 520,000",34685187477,Property,Majorca ,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-spain/18031843/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 3,200,000",+32 (0)47 59 44 50,Villa,Uccle ,880,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/18031967/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 599,000",+32 (0)47 35 51 05,Apartment,Ixelles ,134,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18031973/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,150,000",+32 (0)47 59 44 50,Apartment with pool,Ixelles ,188,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18031981/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,490,000",+32 (0)47 47 40 80,Apartment,Sint-Genesius-Rode ,423,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18031977/
 Avenue Legrand 30 ,, JAMES REALTY,Belgiu,,+32 (0) 488 576 592,Property,Belgium,,https://properties.lefigaro.com/announces/property-real+estate-properties+for+sale-belgium/18031827/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 2,900,000",351282353019,Ground ,Lagoa ,2970,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-portugal/12170305/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,,+32 (0)47 59 44 50,Manoir,Ixelles ,441,https://properties.lefigaro.com/announces/manoir-real+estate-properties+for+sale-belgium/18031965/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 896,000",+351 218 962 018 - +33 (0)7 51 32 15 13,House,Setúbal ,340,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18043487/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,290,000",+32 (0)47 35 51 05,Apartment,Ixelles ,208,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18031971/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 795,000",351282353019,Villa,Loulé ,285,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-portugal/16325155/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 7,950,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Seaside apartment with terrace,Cascais ,457,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18031539/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Seaside villa with pool,Mauritius,540,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18124469/
" Rua Ivens, 42 - ChiadoLISBONNE ",, INFANTE & RIU,Portugal,"€ 2,050,000",+351 218 962 018 - +33 (0)7 51 32 15 13,Apartment with terrace,Lisbon ,195,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18031605/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 52 32 39,Farm house with pool,Perwez ,900,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-belgium/18124341/
 Sevilla ,, ITALIQUE PROPIEDADES,Spain,"€ 544,000",00 34 722 14 70 65,Villa,Seville ,400,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/17219515/
 Route Royale ,, IKEYS LTD,Mauritiu,,57449833,Villa with pool and garden,Mauritius,280,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18125407/
 Route Royale ,, IKEYS LTD,Mauritiu,"€ 1,700,000",57449833,Seaside villa with pool,Mauritius,512,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-mauritius/18125139/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,"€ 1,180,000",+32 (0)47 53 98 68,Apartment,Antwerp ,195,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/18124351/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 565,000",351214659600,Apartment with pool,Cascais e Estoril ,85,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18043499/
 Rua Maria Vicencia do Vale n° 20 Praia d'Aréia BrancaLourinha ,, ATLANTIC HOME,Portugal,"€ 1,590,000",33629793229,Other with terrace and pool,Lourinhã ,903,https://properties.lefigaro.com/announces/other-real+estate-properties+for+sale-portugal/18032233/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 1,910,000",351 274 67 27 30,Farm house,Setúbal ,4,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/17998335/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,"€ 1,275,900",+32 (0)47 53 98 68,Apartment,Antwerp ,150,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17990765/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 519,800",351214659600,Apartment,Lisbon ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18012187/
" Rua do Estádio, Quinta da Bela Vista,Lote A-12, Lojas A/B 12 A ",, CENTURY 21 REALTY ART,Portugal,"€ 385,000",+351 964 727 005 - +351 289 583 060,Contemporary house with pool and garden,Albufeira ,125,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/18047727/
" Plaça Forgas 11, PB, Puerta 1 ",, Immobilier Costa Brava,Spain,"€ 2,980,000",972304591,Seaside villa with pool,Begur ,610,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-spain/17992067/
 Poljana Zvonimira Drazica 2Zagreb ,, MI -DOMA,Croatia,"€ 2,600,000",+33 (0)6 49 12 88 76 - +385 (0)92 18 78 046,Villa,Sutomišćica ,1000,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-croatia/18014119/
" Rua Dr. Acurcio Gil Castanheira, 6 ",, PORTUGALRUR,Portugal,"€ 408,000",351 274 67 27 30,Farm house,Coimbra ,,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-portugal/17999273/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 508,000",351214659600,Apartment,Lisbon ,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18012213/
" Rua Ernesto Cabrita - Edificio Vales, Loja - A ",, EXCLUSIVE ALGARVE VILLAS,Portugal,"€ 599,000",351282353019,House,Lagoa ,235,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/13938467/
" Av. Aida, 353 A, 2765-187 EstorilLISBONNE ",2765, INS Portugal - Your Property Advisor,Portugal,"€ 528,000",351214659600,Apartment,Lisbon ,67,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-portugal/18012171/
 Via Manzoni 45Milano ,, ITALY SOTHEBY’S INTERNATIONAL REALTY,Italy,"€ 6,880,000",+39 02 8707 8300,Villa,Stresa ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-italy/17141785/
" 234, avenue Mohammed VMARRAKECH ",, BARNES Maroc,Morocco,"€ 1,100,000",+212 (0)5 24 43 32 00,Villa,Marrakesh ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-morocco/8771730/
" Camino Aniceto, 90 ",, CAROLA WAGNER INTERNATIONAL CONSULTING,Spain,"€ 295,000",06 60 73 07 21,Mas,Villa de Mazo ,140,https://properties.lefigaro.com/announces/mas-real+estate-properties+for+sale-spain/18029607/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 53 25 73,House with pool,Genappe ,550,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17990757/
 15 rue de Mézières 75006 Paris 6th ,75006, BRETEUIL IMMOBILIER,United-Kingdo,"€ 2,500,000",01 45 55 11 11,House,United-Kingdom,,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-gbr/18030383/
" Rua do Barranco, Edf. V / VI, loja 62 ",, FINO PROPRIEDADES - SOC. DE MED. IMOBILIÁRIA,Portugal,"€ 600,000",351282354140,House with pool and terrace,Carvoeiro ,246,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/17989317/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 2,450,000",+32 (0)47 28 69 66,Villa,Uccle ,430,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17979233/
 Port Grimaud1 Place des ArtisansB.P. 10110 83310 Grimaud ,83310, IMMOBILIERE DE LA CITE,Mauritiu,"€ 1,025,000",04 94 56 03 17,Apartment,Mauritius,,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-mauritius/18030767/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,995,000",+32 (0)47 35 51 05,Apartment,Ixelles ,449,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17990611/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,680,000",+32 (0)47 59 44 50,Apartment with terrace,Brussels ,400,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17990627/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,500,000",+32 (0)47 59 44 50,Apartment,Uccle ,228,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17990597/
" Rua do Barranco, Edf. V / VI, loja 62 ",, FINO PROPRIEDADES - SOC. DE MED. IMOBILIÁRIA,Portugal,"€ 1,600,000",351282354140,Contemporary house with pool and garden,Carvoeiro ,421.5,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-portugal/17989427/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,790,000",+32 (0)47 59 44 50,Ground ,Uccle ,2104,https://properties.lefigaro.com/announces/terrain-real+estate-properties+for+sale-belgium/17990623/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 2,650,000",+32 (0)47 59 44 50,Villa with pool,Braine-l'Alleud ,632,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17979363/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 53 25 73,Manoir,Grez-Doiceau ,900,https://properties.lefigaro.com/announces/manoir-real+estate-properties+for+sale-belgium/17990687/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 52 32 39,Farm house,Langemark-Poelkapelle ,520,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-belgium/17990691/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,900,000",+32 (0)47 59 44 50,House with pool and terrace,Uccle ,300,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17990637/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 4,250,000",+32 (0)47 28 69 66,House with pool,Uccle ,1035,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17979273/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,500,000",+32 (0)47 59 44 50,Apartment,Uccle ,220,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17979657/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 990,000",+32 (0)47 59 44 50,Apartment,Schaerbeek ,300,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17990633/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 895,000",+32 (0)47 59 44 50,Apartment,Uccle ,230,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17979905/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 3,950,000",+32 (0)47 47 40 80,House with pool,Uccle ,571,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17979467/
 Frankrijklei 93 ,, Antwerp Sotheby's International Realty,Belgium,,+32 (0)47 52 32 39,Farm house with pool,Nivelles ,750,https://properties.lefigaro.com/announces/farm-real+estate-properties+for+sale-belgium/17990665/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,695,000",+32 (0)47 59 44 50,Apartment,Uccle ,227,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17980109/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,,+32 (0)47 28 69 66,House with pool,Sint-Genesius-Rode ,2076,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17979597/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 2,250,000",+32 (0)47 59 44 50,Villa with pool,Sint-Genesius-Rode ,650,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17989837/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 3,395,000",+32 (0)47 47 40 80,Villa,Uccle ,900,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17979601/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,,+32 (0)47 28 69 66,Villa with pool,Sint-Genesius-Rode ,1250,https://properties.lefigaro.com/announces/villa-real+estate-properties+for+sale-belgium/17979681/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 2,245,000",+32 (0)47 59 44 50,Apartment,Uccle ,330,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17979249/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 2,950,000",+32 (0)47 59 44 50,House with pool,Uccle ,400,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17979723/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,,+32 (0)47 35 51 05,Apartment,Brussels ,477,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17979675/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,,+32 (0)47 59 44 50,Apartment,Ixelles ,400,https://properties.lefigaro.com/announces/apartment-real+estate-properties+for+sale-belgium/17979797/
 Avenue Louise 200 ,, Brussels Sotheby's International Realty,Belgium,"€ 1,995,000",+32 (0)47 59 44 50,House,Ixelles ,600,https://properties.lefigaro.com/announces/house-real+estate-properties+for+sale-belgium/17979319/
